"23.703610,120.413295,1","23.698812,120.394894,1","23.702549,120.421311,2","23.711690,120.402288,1","23.718280,120.389380,1","23.715208,120.390002,1","23.709830,120.379025,1","23.699516,120.377351,1","23.695459,120.417680,1","23.695000,120.426538,1","23.685920,120.422832,1","23.690287,120.428366,1","23.695472,120.404578,1","23.681623,120.401369,1","23.682520,120.404091,1","23.672969,120.397832,1","23.681516,120.400474,1","23.702907,120.407884,1","23.705115,120.401750,1","23.689751,120.398900,1","23.710641,120.411409,1","23.699655,120.404186,1","23.709229,120.421112,1","23.706560,120.413075,1","23.728575,120.477581,1","23.729400,120.487552,1","23.715182,120.426769,1","23.740724,120.453861,1","23.725073,120.454544,1","23.745191,120.443657,1","23.729973,120.426746,1","23.720618,120.426752,2","23.715710,120.416240,2","23.725206,120.409480,3","23.728152,120.407557,2","23.712924,120.414490,3","23.721230,120.402829,2","23.730205,120.409098,2","23.741283,120.464314,3","23.739933,120.465037,3","23.742404,120.478686,3","23.740500,120.475381,2","23.740540,120.484462,1","23.750864,120.461997,4","23.731603,120.469960,1","23.747021,120.456551,3","23.740700,120.464959,2","23.734799,120.466990,4","23.729474,120.447467,2","23.734405,120.449870,2","23.725853,120.467840,3","23.724980,120.460725,2","23.678829,120.389411,1","23.733204,120.480266,4","23.717803,120.473940,2","23.724420,120.495270,1","23.690228,120.437420,2","23.700016,120.445936,1","23.680966,120.431909,1","23.694520,120.446807,2","23.701014,120.442695,2","23.686105,120.437520,2","23.708070,120.468744,2","23.714615,120.470770,2","23.711130,120.474252,2","23.702468,120.480241,2","23.719270,120.483238,2","23.729077,120.480071,2","23.722417,120.398023,1","23.742701,120.404230,2","23.722602,120.418060,1","23.712188,120.410220,2","23.716670,120.406550,2","23.722243,120.409437,3","23.721050,120.403944,1","23.711707,120.418132,1","23.721140,120.407380,2","23.707870,120.407627,1","23.704060,120.399790,1","23.719116,120.411320,1","23.701262,120.390890,1","23.714860,120.392548,1","23.702697,120.394610,1","23.720224,120.393040,1","23.706777,120.369685,1","23.699550,120.369780,1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,211.383,0,46.293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.52,86.832,0,0,0,0,0,0,0,14.602,0,0,0,0,0,0,0,0,0,151.246,0,0,0,127.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.801,0,0,0,0,43.46,0,0,0,0,0,0,0,0,0,185.033,0,0
0,0,0,15.95,0,0,0,0,5.406,0,0,0,0,0,0,0,0,0,0,0,0,72.189,0.413,0,0,89.934,0,0,0,0,0,0,0,14.708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380.989,0,53.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.615,0,0,0,0,0,44.1,0,0,0,214.039
0,0,0,69.188,102.887,216.732,72.667,0,0,0,0,0,0,0,103.955,0,102.951,0,0,2.178,0,0,318.963,0,0,84.642,0,0,113.563,114.249,0,0,0,0,0,0,0,0,0,0,0,84.189,0,138.46,0,0,0,2.703,0,0,0,0,0,0,0,0,0,0,0,0,0,43.063,0,0,0,0,0,0,218.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,201.245,0,0,0,0,0,0,0,0,0,0,23.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.658,0,0,0,0,0,0,0,5.165,0,0,0,0,0,118.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,219.504,0,0,0,0,0,0,0,0,0,0,55.488,0,0,0,0,0,113.621,0,76.488,17.174,0,0,0,0,92.982,0,0,14.63,0,0,0,0,124.031,78.73,0,95.651,0,125.952,0,0,79.58,0,0,0,0,0,0,0,0,0,0,137.238,14.175,0,224.193,75.726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.643
0,0,117.435,0,86.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.066,0,0,0,0,0,0,0,0,0,0,0,0,0,37.311,0,0,0,0,0,0,0,0,0,0,0,133.538,0,117.462,0,0,0,0,0,0,0,340.981,0,0,121.385,0,0,0,0,0,0,0,0,0,0,0,0,5.65,0,29.92,0,164.175,0,0,0,0,0,0,0,197.825,0,0
0,0,0,0,0,201.058,0,0,0,0,0,0,0,0,0,0,5.379,0,0,0,0,0,6.425,0,308.117,0,0,0,0,0,0,0,49.846,14.614,0,0,0,0,126.667,79.244,0,93.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.248,0,0,7.654,0,0,0,0,0,0,0,0,0,0,0,0,0,216.288
0,1.534,0,0,0,0,4.914,0,0,0,0,0,0,0,0,0,110.083,0,0,4.426,0,0,250.322,0,0,130.634,0,0,0,0,0,0,0,7.062,0,0,0,0,0,0,0,0,0,141.377,0,0,0,134.112,60.072,0,0,0,0,0,0,0,0,0,0,80.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.301,0,0,0,0,0,0,0,0,0,0
